"","lambda0","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","lambda11","mu0","mu1","mu2","mu3","mu4","mu5","mu6","mu7","mu8","mu9","mu10","mu11"
"1",0.249511560016785,0.239197552660177,0.221950508121668,0.228332685766636,0.221880685119877,0.417035705254005,0.0427266475134525,0.218123484979569,0.160291591448585,0.239516164680187,0.193839462033311,0.401178174484809,0.0810207950634227,0.0776308488777378,0.0624142303442034,0.183521369771248,0.021258011384449,0.097065339026281,0.432930285198516,0.0259743650534494,0.0574167250484566,0.229499048110093,7.83505513939647e-10,1.36824168540327
"2",0.249655386755329,0.228713712269693,0.198954652056189,0.200194532928107,0.210147454533074,0.43068009142377,0.0546716236695355,0.316818359501516,0.187435738840208,0.167650575573862,0.17187749882773,0.462711812703464,0.0779420327874839,0.0626635320675182,0.0339971071836249,0.158091375495269,0.0191804371121735,0.116525046480565,0.464412715683535,0.13877933256582,0.0291539488602227,0.145581184026904,0.0167363072363462,1.42352403009966
"3",0.249517360635142,0.213651802906609,0.17526429007469,0.169368775813663,0.186902800683912,0.438901967103806,0.0504521138590414,0.37988287005486,0.220471701128114,0.198574367080374,0.200353968974271,1.17160537856774e-10,0.0723612602314472,0.0420631545312956,0.00602132217839144,0.125343178094491,0.0079329057412362,0.13382449721429,0.43555786310596,0.243629089830418,0.0467677640988621,0.188808240910214,6.02037929914947e-09,0.361778982760678
"4",0.249617971026147,0.246417645520527,0.232415136181916,0.233830297323611,0.218380720990744,0.420303085924496,0.0544255069022216,0.477167321090817,0.392807359301465,0.397088189148077,0.309863400604859,1.63910661498073e-09,0.0837392956008488,0.0869999525433268,0.0730598936307746,0.185195397858476,0.0162918593881687,0.105508603698496,0.474426939310404,0.347066396379983,0.244949697401664,0.378727824805637,0.0854838095392212,0.415395039734796
"5",0.249282534764928,0.214085591430496,0.181754896271654,0.187414969620222,0.197441469598496,0.413278045421573,0.0469415282093822,0.252869714624044,0.180243564658078,0.188867656547072,0.186653256064751,0.535864815719531,0.0719412369291085,0.0432589632864586,0.0175834380365362,0.147467069004138,0.00562756718071929,0.102492350609563,0.439761143721638,0.0693126760526532,0.0588734873966074,0.15870933851988,0.0376538502277923,1.51325408886176
"6",0.24953236669436,0.240306983093479,0.22492958543394,0.231627276238044,0.219703536658673,0.412212982777861,0.0534975781984806,0.373148900384239,0.245538710473147,0.208043503409963,0.167149644612532,0.427446629723916,0.0813673835883391,0.0791964376473696,0.0662627454675425,0.185560519943401,0.0171842626462545,0.0930977476462214,0.478741738178046,0.194041171988843,0.107534917586883,0.161992295021877,4.65922733193707e-09,1.39901792937428
"7",0.249500023717559,0.214996516276724,0.173580521648613,0.150660009518876,0.166581410748634,0.431098074968942,0.0565683845775847,0.322928840600773,0.25131921158993,0.222407338668795,0.195477555280669,2.02955530383942e-12,0.0727988153650016,0.0438160152825187,2.14637150205463e-27,0.0970049050577494,1.74531423443117e-16,0.122335962351999,0.460881173927132,0.156088170121958,0.113421770288845,0.189720689170192,4.66117837112593e-13,0.344651901703304
"8",0.249486292342396,0.231342533903209,0.208055546317988,0.211506786221318,0.212564635402564,0.445137147829425,0.031105277305099,0.244816545301958,0.218868111413091,0.178381924800807,0.165107449066173,0.436384854399095,0.0782419920071171,0.0670018363449734,0.0462959828194074,0.167031760588093,0.0190446217353959,0.13762241197168,0.355717196868706,0.155519179720796,0.055687767048091,0.146800555531642,0.00408679116603108,1.40905283268824
"9",0.249523699981266,0.241891384945447,0.226007293979374,0.225888938808009,0.206664578540418,0.398943625015304,0.0490094713762349,0.257430707394828,0.191010698908358,0.23978713911704,0.213004392745889,0.285225223101254,0.0819455275378157,0.0812283233473673,0.0663346042699032,0.176049739045104,0.00359751235125794,0.0845838699779712,0.446964000816688,0.0756028957819311,0.0777820063298193,0.214363986642796,0.026990091460112,1.11781050918202
"10",0.249971942221747,0.237203843821902,0.209626932125273,0.208322648653472,0.203627597144141,0.404303196058331,0.0580200945430045,0.312977201643574,0.214447404117959,0.253428134700873,0.190786309298183,0.403760436167283,0.081704851522191,0.0734534051878428,0.0450733180235381,0.162595883717828,0.00574738972795998,0.0892143293631076,0.499545683044556,0.0914716083905107,0.110371509760722,0.219862407961591,8.79678403985748e-10,1.39082460125682
