"","ef","coarse","neglogl","deltaneglogl","AIC","deltaAIC"
"1",0,2,277.665745588675,40.8027313322581,561.33149117735,5.01336359358845
"2",0.1,2,277.787110538457,40.9240962820404,561.574221076914,5.256093493153
"3",0.2,2,277.90385359954,41.0408393431233,561.80770719908,5.48957961531892
"4",0.3,2,278.001039962892,41.1380257064754,562.002079925785,5.68395234202319
"5",0.4,2,278.053364477686,41.1903502212691,562.106728955372,5.78860137161041
"6",0.5,2,278.018444249694,41.1554299932773,562.036888499388,5.71876091562683
"7",0.6,2,277.826404484095,40.963390227678,561.65280896819,5.33468138442822
"8",0.7,2,277.366749643769,40.5037353873527,560.733499287539,4.41537170377762
"9",0.8,2,276.489962412306,39.6269481558888,558.979924824611,2.66179724084986
"10",0.9,2,275.159063791881,38.2960495354639,556.318127583761,0
"11",0,3,277.665728840374,40.802714583957,563.331457680748,7.01333009698635
"12",0.1,3,277.77517214039,40.9121578839736,563.550344280781,7.23221669701945
"13",0.2,3,277.855805501511,40.9927912450938,563.711611003021,7.39348341925995
"14",0.3,3,277.890488950468,41.0274746940514,563.780977900936,7.46285031717514
"15",0.4,3,277.854417999108,40.9914037426915,563.708835998217,7.39070841445528
"16",0.5,3,277.712184276383,40.849170019966,563.424368552766,7.10624096900426
"17",0.6,3,277.41482093892,40.5518066825029,562.829641877839,6.5115142940781
"18",0.7,3,276.899897020152,40.0368827637355,561.799794040305,5.48166645654328
"19",0.8,3,276.107232508824,39.2442182524068,560.214465017647,3.89633743388583
"20",0.9,3,275.066875695281,38.2038614388644,558.133751390562,1.815623806801
"21",0,4,276.487710309814,39.6246960533973,562.975420619628,6.65729303586681
"22",0.1,4,276.46830197754,39.6052877211227,562.936603955079,6.6184763713178
"23",0.2,4,276.410207419788,39.5471931633709,562.820414839576,6.50228725581417
"24",0.3,4,276.303023335777,39.4400090793607,562.606046671555,6.28791908779363
"25",0.4,4,276.134591189349,39.2715769329321,562.269182378698,5.95105479493645
"26",0.5,4,275.891544561718,39.0285303053012,561.783089123436,5.46496153967473
"27",0.6,4,275.560942188272,38.6979279318551,561.121884376544,4.80375679278245
"28",0.7,4,275.13414364777,38.2711293913534,560.26828729554,3.95015971177907
"29",0.8,4,274.614850257541,37.7518360011239,559.229700515082,2.91157293132017
"30",0.9,4,274.03068522873,37.1676709723131,558.06137045746,1.74324287369859
"31",0,5,275.718051290591,38.8550370341738,563.436102581181,7.11797499741999
"32",0.1,5,275.610522760583,38.7475085041658,563.221045521165,6.90291793740391
"33",0.2,5,275.474165172516,38.6111509160995,562.948330345033,6.63020276127122
"34",0.3,5,275.305359444115,38.4423451876984,562.610718888231,6.29259130446917
"35",0.4,5,275.100909846959,38.2378955905418,562.201819693917,5.88369211015595
"36",0.5,5,274.858812406568,37.9957981501511,561.717624813136,5.39949722937445
"37",0.6,5,274.579712499571,37.7166982431541,561.159424999142,4.8412974153805
"38",0.7,5,274.269800823191,37.406786566774,560.539601646382,4.22147406262025
"39",0.8,5,273.947206080235,37.0841918238181,559.89441216047,3.57628457670842
"40",0.9,5,273.660501562614,36.7974873061972,559.321003125228,3.00287554146666
"41",0,6,274.29088825995,37.4278740035333,562.5817765199,6.26364893613891
"42",0.1,6,274.194636623355,37.3316223669385,562.389273246711,6.07114566294933
"43",0.2,6,274.086739387589,37.2237251311719,562.173478775177,5.85535119141605
"44",0.3,6,273.967518643876,37.1045043874595,561.935037287753,5.61690970399127
"45",0.4,6,273.838055255902,36.9750409994851,561.676110511804,5.35798292804259
"46",0.5,6,273.700577208018,36.8375629516008,561.401154416035,5.08302683227396
"47",0.6,6,273.558989815595,36.6959755591781,561.11797963119,4.79985204742854
"48",0.7,6,273.419480479825,36.5564662234081,560.83896095965,4.5208333758884
"49",0.8,6,273.290646200759,36.4276319443418,560.581292401517,4.26316481775598
"50",0.9,6,273.179988296189,36.3169740397724,560.359976592378,4.04184900861708
